Student_Name,Enrollment_No,Semester,Department,Age,Gender,G1_Internal,G2_Internal,Final_Exam_Score,Attendance_Percentage,Study_Hours_Per_Week,Backlogs,Parent_Education_Level,Part_Time_Work,Previous_CGPA,predicted_CGPA,Academic_Risk_Level
5,102,5,3,22,1,62,44,34,88,8,3,0,1,7.8,4.54,0
0,296,6,1,21,0,61,88,70,62,11,4,3,1,5.93,7.27,0
10,177,7,1,20,1,87,95,88,86,10,4,1,1,5.91,8.98,1
13,214,3,0,22,0,55,39,38,74,0,4,3,0,4.99,4.34,0
9,966,8,4,19,0,90,78,71,89,5,4,3,0,5.13,7.88,1
10,314,3,0,18,0,46,40,47,86,12,1,0,0,7.71,4.46,0
8,38,7,1,18,1,98,59,75,94,1,1,3,1,9.07,7.71,1
5,258,5,2,20,0,58,52,77,65,17,4,0,0,4.3,6.38,0
7,715,5,4,18,0,92,51,57,64,15,3,2,0,6.71,6.57,0
4,6,8,2,21,0,35,80,66,75,9,4,3,1,9.26,6.09,0
5,48,8,0,21,0,88,71,49,94,16,1,2,0,6.94,6.73,2
13,537,4,1,19,0,50,58,67,60,15,1,0,0,6.33,5.92,2
13,160,2,4,20,0,74,74,70,81,16,0,1,0,5.6,7.24,2
9,868,2,0,20,0,74,62,91,97,14,0,1,1,8.15,7.72,1
8,175,4,3,18,1,64,68,49,82,2,3,2,0,8.92,5.92,0
0,590,2,0,22,1,81,94,52,62,2,0,3,1,9.44,7.33,2
9,1,3,5,22,0,75,79,79,40,8,2,2,1,5.7,7.78,2
9,894,4,3,22,0,95,77,34,98,4,2,3,0,4.7,6.52,2
4,454,4,2,19,1,86,66,89,49,16,0,0,0,7.98,8.12,2
2,927,2,3,20,0,71,62,72,64,17,2,1,1,8.57,6.87,2
8,643,1,0,18,0,45,35,65,61,15,1,3,1,8.8,5.0,0
1,275,8,3,19,1,34,99,32,86,19,4,1,1,7.32,5.27,0
9,497,2,5,21,0,30,84,90,47,8,4,2,1,9.28,7.02,0
12,628,6,0,21,0,51,73,83,80,14,2,1,1,4.62,7.04,2
6,675,1,5,21,0,77,79,65,72,8,1,1,0,5.69,7.28,2
2,799,4,3,20,0,55,83,74,92,12,1,2,0,5.65,7.1,2
1,27,1,5,21,1,63,92,58,51,0,0,1,0,6.19,6.97,2
12,332,3,3,22,0,87,45,55,87,15,1,2,0,8.13,6.16,2
8,0,5,4,21,0,36,76,37,78,8,1,1,1,4.11,4.84,0
3,187,1,3,19,1,54,86,51,51,12,1,3,0,4.1,6.24,2
12,55,6,1,21,1,86,31,98,51,13,4,2,0,4.75,7.43,0
7,546,5,5,22,0,41,66,73,50,10,2,0,1,5.02,6.13,2
2,111,3,5,21,0,60,52,70,87,0,0,1,1,9.44,6.16,2
10,797,6,2,18,0,56,42,65,47,13,0,1,1,5.42,5.54,2
12,309,7,2,22,0,63,94,59,90,19,0,0,0,6.52,7.07,2
11,35,5,1,20,0,63,77,78,47,17,3,1,0,4.16,7.32,0
3,438,7,5,21,0,66,36,46,76,0,2,2,0,9.12,4.9,0
13,728,3,5,19,0,87,60,59,88,0,4,1,0,4.26,6.77,0
13,591,5,2,21,1,89,92,33,55,16,2,0,1,8.96,6.75,2
7,825,5,2,19,1,55,74,64,75,1,0,3,1,5.1,6.43,2
12,594,2,3,18,0,74,85,46,57,15,4,2,0,9.0,6.61,0
12,576,6,0,20,0,74,93,36,83,4,2,2,1,5.82,6.45,2
6,324,8,5,22,0,61,51,91,60,4,1,1,1,6.62,7.0,2
6,639,6,5,22,0,98,92,87,43,6,2,3,1,7.91,9.18,2
6,306,1,3,20,0,52,57,73,89,3,1,0,0,8.09,6.19,2
4,533,7,5,18,0,94,73,87,46,0,0,1,0,4.19,8.49,2
12,727,7,1,18,1,68,43,82,73,17,1,1,1,4.11,6.61,2
5,618,6,2,21,1,96,48,38,73,9,3,1,0,5.77,5.84,0
0,108,6,2,18,0,74,89,35,84,6,4,0,1,6.81,6.29,0
11,371,5,0,21,0,96,31,48,75,10,1,2,1,8.8,5.73,2
4,356,7,2,19,0,92,80,49,76,0,4,0,1,5.0,7.12,0
8,180,4,4,20,1,99,63,93,69,5,1,0,1,6.05,8.58,2
4,355,8,1,19,1,83,80,56,65,4,0,2,0,6.39,7.13,2
5,675,2,1,19,1,56,48,36,51,12,2,1,1,6.68,4.56,0
8,67,8,3,19,0,65,65,53,50,16,1,1,1,7.88,6.02,2
11,291,1,4,19,1,34,55,37,68,17,0,0,0,9.0,4.15,0
5,691,8,5,22,0,96,64,96,42,6,1,0,0,4.71,8.64,2
1,180,2,0,18,0,80,92,40,50,5,3,2,1,6.59,6.76,0
0,465,1,1,20,0,61,33,95,48,6,4,0,0,9.42,6.62,0
11,433,3,4,20,0,50,32,30,65,11,1,1,1,7.3,3.66,0
12,463,5,4,19,1,46,34,36,93,5,0,2,0,8.67,3.84,0
6,680,6,1,20,0,55,58,53,98,15,0,1,1,8.89,5.51,2
1,913,6,3,21,0,51,48,41,47,7,2,1,0,4.39,4.61,0
7,533,4,4,20,1,70,46,92,60,14,4,2,1,6.65,7.16,0
11,65,8,2,19,0,88,63,42,47,8,2,3,1,9.29,6.21,2
7,20,7,4,20,0,39,49,99,81,12,4,2,1,4.82,6.6,0
8,611,7,5,18,0,34,57,53,45,11,4,1,0,5.04,4.85,0
1,383,2,1,19,1,84,96,67,94,13,1,2,0,6.78,8.08,1
0,811,2,5,22,0,55,39,39,57,7,2,2,0,4.73,4.38,0
12,614,2,3,18,0,33,50,59,45,14,2,0,1,8.73,4.85,0
12,558,7,0,20,1,56,33,56,60,3,2,3,1,8.2,4.91,0
5,38,6,2,22,0,87,51,59,83,8,0,3,0,8.67,6.5,2
12,284,7,1,18,0,32,91,31,87,19,3,0,1,6.23,4.93,0
10,821,2,4,21,0,79,41,37,95,5,1,1,1,7.56,5.08,0
9,601,5,2,18,0,55,40,46,92,5,2,1,1,5.8,4.69,0
